step,mo,inflow,precip,evap,released,supplied,storage,% full,d_stage,% redu,deficit
0,1,7294.539619100622,4015.6208404498175,-4.03300927800592,368.9595004132611,5207.391575656634,137256.43239275855,1.1950006163455411,0,1.0,0.0
1,2,3576.7714750610835,2847.446917666879,406.985051202646,333.25374230875195,4420.4567189823565,138519.95527299275,1.2060012710640462,0,1.0,0.0
2,3,10273.879805002045,4629.528464618197,4764.5474188545195,368.9595004132611,4474.280351054627,143815.57627229058,1.252106726726663,0,1.0,0.0
3,4,10240.110378650066,8476.578449269116,2.083742067043204,595.0959684084856,6801.368857750807,155133.71653198343,1.1795573274620983,0,1.0,0.0
4,5,8188.192874525425,1901.5600416919915,251.72134590375936,614.9325006887685,4858.98311384988,159497.83248775842,1.2127398300708547,0,1.0,0.0
5,6,4980.411049100027,2035.6150207633327,4035.0969816902943,595.0959684084856,6005.484226694337,155878.18138082867,1.1852178568887384,0,1.0,0.0
6,7,4292.113196265568,7539.1646417574375,-2.4129617876023985,614.9325006887685,6514.461867704358,160582.47781224616,1.2209869176079682,0,1.0,0.0
7,8,6892.1364335625585,1746.3801792818122,973.9393969785015,614.9325006887685,4614.90044387742,163017.22208354584,1.239499466072027,0,1.0,0.0
8,9,6230.823328510114,4480.999257462798,1636.414186308597,357.05758104509135,4922.631368114622,166812.94153405045,1.4523295154371212,0,1.0,0.0
9,10,6973.204597930566,5317.347349798045,933.4679695152736,368.9595004132611,5367.177194549899,172433.8888173006,1.5012673710321798,0,1.0,0.0
10,11,47.53131585987996,2239.2984328055463,2.586111894022906,357.05758104509135,4777.746955509437,169583.32791751748,1.4764494300964581,0,1.0,0.0
11,12,4181.580671802452,4609.3914751091215,4317.142812977429,368.9595004132611,4512.755945786028,169175.44180525234,1.4728982365599623,0,1.0,0.0
12,1,5052.556969531859,3769.220390833012,2936.313362109766,368.9595004132611,4632.47704212344,170059.46926097074,1.480594876608328,0,1.0,0.0
13,2,3423.772967327008,5752.2769422028505,767.5318949505454,333.25374230875195,5046.127549170013,173088.60598407127,1.5069675586604299,0,1.0,0.0
14,3,1840.4063210429595,5660.9032257832005,4832.518585434882,368.9595004132611,4707.646987411945,170680.79045763734,1.486004307700348,0,1.0,0.0
15,4,10943.794989260387,5966.264735482604,74.91369908332126,595.0959684084856,6103.78142327257,180817.05909161596,1.3748403103440812,0,1.0,0.0
16,5,7054.291627146718,3784.763891659415,10908.251981497946,614.9325006887685,11430.82302762633,168702.10710060905,1.282724420179756,0,1.0,0.0
17,6,347.28692408592894,6070.705426807661,4795.766584521451,595.0959684084856,4723.334323048794,165005.9025755239,1.2546203740134678,0,1.0,0.0
